Entity,Code,Year,Corruption Perception Index - Transparency International (2018)
Afghanistan,AFG,2012,8
Afghanistan,AFG,2015,11
Afghanistan,AFG,2018,16
Albania,ALB,2012,33
Albania,ALB,2015,36
Albania,ALB,2018,36
Algeria,DZA,2012,34
Algeria,DZA,2015,36
Algeria,DZA,2018,35
Angola,AGO,2012,22
Angola,AGO,2015,15
Angola,AGO,2018,19
Argentina,ARG,2012,35
Argentina,ARG,2015,32
Argentina,ARG,2018,40
Armenia,ARM,2012,34
Armenia,ARM,2015,35
Armenia,ARM,2018,35
Australia,AUS,2012,85
Australia,AUS,2015,79
Australia,AUS,2018,77
Austria,AUT,2012,69
Austria,AUT,2015,76
Austria,AUT,2018,76
Azerbaijan,AZE,2012,27
Azerbaijan,AZE,2015,29
Azerbaijan,AZE,2018,25
Bahamas,BHS,2012,71
Bahamas,BHS,2018,65
Bahrain,BHR,2012,51
Bahrain,BHR,2015,51
Bahrain,BHR,2018,36
Bangladesh,BGD,2012,26
Bangladesh,BGD,2015,25
Bangladesh,BGD,2018,26
Barbados,BRB,2012,76
Barbados,BRB,2018,68
Belarus,BLR,2012,31
Belarus,BLR,2015,32
Belarus,BLR,2018,44
Belgium,BEL,2012,75
Belgium,BEL,2015,77
Belgium,BEL,2018,75
Benin,BEN,2012,36
Benin,BEN,2015,37
Benin,BEN,2018,40
Bhutan,BTN,2012,63
Bhutan,BTN,2015,65
Bhutan,BTN,2018,68
Bolivia,BOL,2012,34
Bolivia,BOL,2015,34
Bolivia,BOL,2018,29
Bosnia and Herzegovina,BIH,2012,42
Bosnia and Herzegovina,BIH,2015,38
Bosnia and Herzegovina,BIH,2018,38
Botswana,BWA,2012,65
Botswana,BWA,2015,63
Botswana,BWA,2018,61
Brazil,BRA,2012,43
Brazil,BRA,2015,38
Brazil,BRA,2018,35
Brunei,BRN,2012,55
Brunei,BRN,2018,63
Bulgaria,BGR,2012,41
Bulgaria,BGR,2015,41
Bulgaria,BGR,2018,42
